,x[px],y[px],r[px]
1029,62,184,57
1030,61,175,47
1031,61,174,47
1032,61,172,45
1033,61,172,44
1034,45,172,50
1035,44,172,49
1036,44,171,49
1037,44,171,49
1038,44,172,49
1039,44,199,49
1040,44,199,49
1041,44,199,48
1042,44,199,49
1043,44,200,49
1044,44,201,49
1045,44,201,49
1046,43,190,48
1047,43,190,48
1048,42,190,47
1049,83,190,1
1050,83,190,1
1051,83,190,1
1052,83,190,1
1053,83,190,1
1054,83,190,1
1055,83,190,1
1056,83,190,1
1057,83,190,1
1058,83,190,1
1059,83,190,1
1060,83,190,1
1061,83,190,1
1062,83,190,1
1063,83,190,1
1064,83,190,1
1065,83,161,33
1066,42,162,47
1067,43,163,48
1068,44,164,48
1069,44,163,48
1070,44,164,48
1071,44,164,49
1072,44,183,57
1073,43,189,47
1074,80,190,7
1075,82,190,7
1076,82,190,7
1077,82,190,7
1078,83,210,26
1079,83,203,18
1080,83,201,16
1081,83,200,15
1082,83,199,13
1083,45,198,50
1084,45,198,50
1085,45,198,50
1086,45,197,50
1087,45,197,50
1088,45,170,50
1089,45,170,50
1090,45,171,50
1091,44,171,49
1092,45,171,50
1093,45,171,50
1094,45,171,50
1095,61,172,45
1096,45,173,50
1097,45,173,50
1098,45,174,50
1099,45,174,50
1100,45,174,50
1101,60,175,48
1102,60,175,49
1103,60,176,50
1104,60,176,50
1105,61,176,50
1106,60,178,52
1107,60,182,57
1108,60,182,57
1109,61,183,57
1110,61,183,57
1111,61,183,57
1112,60,183,57
1113,60,182,58
1114,59,186,30
1115,43,184,47
1116,83,182,11
1117,83,190,1
1118,83,190,1
1119,83,190,1
1120,83,190,1
1121,83,190,1
1122,83,190,1
1123,83,190,1
1124,83,190,1
1125,83,190,1
1126,83,190,1
1127,83,190,1
1128,83,190,1
1129,83,190,1
1130,83,190,1
1131,83,190,1
1132,83,190,1
1133,83,190,1
1134,83,190,1
1135,83,190,1
1136,83,190,1
1137,83,190,1
1138,83,190,1
1139,83,190,1
1140,83,190,1
1141,83,190,1
1142,83,190,1
1143,83,190,1
1144,83,190,1
1145,83,190,1
1146,83,190,1
1147,83,190,1
1148,83,190,1
1149,83,190,1
1150,83,190,1
1151,83,190,1
1152,83,190,1
1153,83,190,1
1154,83,190,1
1155,83,190,1
1156,83,190,1
1157,83,190,1
1158,83,190,1
1159,83,190,1
1160,83,190,1
1161,83,190,1
1162,83,190,1
1163,83,190,1
1164,83,190,1
1165,83,190,1
1166,83,190,1
1167,83,190,1
1168,83,190,1
1169,83,190,1
1170,42,190,46
1171,83,190,1
1172,83,190,1
1173,83,190,1
1174,83,190,1
1175,83,190,1
1176,83,190,1
1177,83,190,1
1178,83,190,1
1179,83,190,1
1180,83,190,1
1181,83,190,1
1182,83,190,1
1183,83,190,1
1184,83,190,1
1185,83,190,1
1186,83,190,1
1187,83,190,1
1188,83,190,1
1189,83,190,1
1190,83,190,1
1191,42,190,46
1192,42,160,46
1193,42,160,46
1194,42,160,46
1195,42,160,47
1196,42,160,46
1197,42,190,46
1198,42,160,46
1199,42,160,47
1200,42,161,47
1201,42,160,46
1202,83,160,34
1203,83,190,1
1204,83,190,1
1205,83,190,1
1206,83,190,1
1207,83,190,1
1208,83,190,1
1209,83,190,1
1210,83,160,34
1211,83,160,34
1212,83,159,35
1213,83,159,35
1214,83,160,35
1215,83,160,35
1216,83,160,35
1217,83,160,35
1218,83,160,35
1219,42,160,46
1220,42,160,47
1221,43,160,47
1222,70,160,36
1223,69,161,36
1224,70,161,36
1225,70,161,36
1226,70,161,36
1227,71,161,36
1228,71,161,36
1229,71,161,36
1230,71,161,36
1231,71,161,36
1232,71,161,36
1233,71,161,36
1234,71,161,36
1235,71,161,36
1236,72,161,36
1237,76,161,36
1238,81,161,36
1239,80,161,36
1240,80,161,36
1241,80,161,36
1242,81,161,36
1243,81,160,36
1244,81,160,35
1245,81,159,35
1246,82,190,6
1247,83,190,5
1248,84,190,3
1249,84,190,3
1250,83,190,2
1251,83,190,1
1252,83,190,1
1253,83,190,1
1254,83,190,1
1255,42,190,46
1256,83,190,1
1257,83,190,1
1258,83,190,1
1259,83,190,1
1260,83,190,1
1261,83,190,1
1262,83,190,1
1263,83,190,1
1264,83,190,1
1265,83,190,1
1266,83,190,1
1267,83,190,1
1268,83,190,1
1269,83,190,1
1270,83,190,1
1271,83,190,1
1272,83,190,1
1273,83,190,1
1274,83,190,1
1275,83,190,1
1276,83,190,1
1277,83,190,1
1278,83,190,1
1279,83,190,1
1280,83,190,1
1281,83,190,2
1282,83,190,1
1283,83,190,1
1284,83,190,1
1285,83,190,1
1286,83,190,1
1287,297,198,235
1288,296,198,237
1289,294,198,238
1290,296,209,237
1291,296,210,236
1292,296,210,236
1293,296,209,236
1294,296,209,236
1295,296,209,236
1296,295,208,237
1297,295,208,238
1298,294,208,238
1299,294,208,238
1300,294,208,238
1301,109,208,34
1302,109,208,34
1303,109,208,34
1304,109,209,34
1305,295,209,237
1306,110,209,33
1307,110,209,33
1308,110,209,33
1309,110,209,33
1310,109,209,34
1311,109,209,34
1312,108,209,35
1313,106,209,36
1314,69,209,76
1315,86,209,58
1316,86,209,58
1317,86,209,58
1318,87,209,57
1319,87,209,57
1320,87,209,57
1321,87,208,57
1322,86,201,57
1323,87,201,56
1324,87,201,56
1325,87,202,56
1326,86,202,56
1327,75,202,43
1328,75,203,43
1329,75,204,43
1330,75,204,43
1331,68,204,36
1332,68,206,35
1333,64,206,31
1334,66,206,33
1335,66,206,34
1336,66,206,35
1337,66,206,35
1338,67,208,35
1339,67,208,35
1340,67,209,35
1341,67,209,35
1342,67,210,35
1343,67,210,35
1344,67,210,34
1345,66,210,34
1346,84,210,23
1347,87,210,23
1348,86,210,23
1349,88,210,23
1350,97,210,23
1351,97,210,23
1352,97,210,22
1353,97,210,22
1354,99,210,22
1355,99,210,22
1356,100,210,22
1357,99,210,22
1358,100,191,20
1359,100,209,21
1360,100,192,20
1361,100,191,20
1362,101,191,21
1363,102,191,22
1364,102,190,21
1365,83,190,1
1366,83,190,1
1367,83,190,1
1368,83,190,1
1369,83,190,1
1370,83,190,1
1371,83,190,1
1372,83,190,1
1373,83,190,1
1374,83,190,1
1375,83,190,1
1376,83,190,1
1377,83,190,1
1378,83,190,1
1379,83,190,1
1380,83,190,1
1381,83,190,1
1382,83,190,1
1383,83,190,1
1384,83,190,1
1385,83,190,1
1386,83,196,8
1387,47,198,52
1388,55,197,61
1389,55,196,61
1390,55,199,61
1391,55,200,61
1392,55,195,61
1393,94,206,24
1394,95,200,19
1395,96,200,21
1396,97,193,20
1397,97,193,21
1398,98,193,21
1399,97,193,23
1400,97,197,24
1401,60,197,66
1402,60,193,67
1403,255,193,281
1404,255,191,281
1405,255,191,281
1406,255,190,281
1407,255,190,281
1408,255,191,281
1409,255,191,281
1410,255,191,281
1411,255,190,281
1412,255,192,281
1413,255,191,281
1414,255,191,281
1415,255,191,281
1416,255,193,281
1417,255,194,281
1418,255,194,281
1419,255,194,281
1420,255,195,281
1421,255,195,281
1422,255,195,281
1423,255,196,281
1424,255,198,281
1425,255,198,281
1426,255,204,281
1427,70,203,77
1428,70,203,77
1429,70,203,77
1430,53,202,59
1431,71,202,38
1432,70,201,37
1433,70,200,36
1434,70,201,36
1435,69,199,37
1436,51,197,57
1437,51,197,57
1438,51,196,57
1439,51,177,57
1440,51,177,56
1441,51,177,56
1442,51,177,56
1443,50,176,56
1444,50,176,56
1445,50,176,55
1446,50,168,56
1447,50,168,55
1448,50,168,56
1449,50,165,55
1450,50,165,55
1451,49,165,54
1452,49,163,54
1453,70,164,77
1454,70,164,77
1455,70,164,77
1456,50,164,55
1457,49,165,54
1458,49,166,54
1459,49,166,54
1460,49,166,54
1461,49,167,54
1462,49,167,54
1463,48,167,53
1464,48,166,53
1465,48,166,53
1466,46,166,51
1467,45,166,50
1468,45,166,50
1469,44,166,49
1470,44,166,49
1471,45,166,50
1472,45,166,50
1473,45,167,50
1474,45,168,50
1475,45,168,50
1476,45,170,50
1477,45,168,50
1478,45,170,50
1479,45,171,50
1480,44,176,54
1481,63,176,54
1482,63,176,54
1483,62,176,54
1484,62,170,47
1485,44,166,48
1486,44,166,49
1487,44,164,48
1488,44,164,48
1489,44,163,49
1490,44,161,48
1491,44,161,48
1492,43,159,48
1493,43,159,47
1494,43,158,47
1495,43,158,47
1496,42,159,47
1497,43,191,47
1498,42,191,47
1499,42,191,46
1500,42,158,46
1501,83,191,2
1502,83,158,38
1503,42,161,47
1504,50,161,55
1505,255,161,281
1506,255,161,281
1507,255,162,281
1508,255,162,281
1509,255,162,281
1510,97,162,49
1511,98,167,47
1512,98,167,47
1513,98,166,47
1514,99,165,46
1515,99,167,46
1516,99,167,46
1517,99,166,45
1518,89,182,56
1519,89,187,56
1520,89,174,56
1521,89,174,56
1522,90,174,56
1523,89,174,57
1524,56,174,62
1525,53,174,58
1526,52,174,57
1527,51,174,57
1528,51,174,57
1529,51,174,57
1530,51,174,57
1531,51,175,57
1532,51,175,57
1533,51,175,57
1534,51,175,57
1535,51,175,57
