# time[s], tube length [µm]
 163.09920,   0.00000
 163.47360,   0.00000
 163.84800,   0.00000
 164.22240,   0.00000
 164.59680,   0.00000
 164.97120,   0.00000
 165.34560,   0.00000
 165.72000,   0.00000
 166.09440,   0.00000
 166.46880,   0.00000
 166.84320,   0.00000
 167.21760,   0.00000
 167.59200,   0.00000
 167.96640,   0.00000
 168.34080,   0.00000
 168.71520,   0.00000
 169.08960,   0.00000
 169.46400,   0.00000
 169.83840,   0.00000
 170.21280,   0.00000
 170.58720,   0.00000
 170.96160,   0.00000
 171.33600,   0.00000
 171.71040,   0.00000
