# time[s], max intensity ch1[AU], max intensity ch2[AU], max intensity ch3[AU]
  88.59360,   9.60402,  51.37468, 107.22551
  88.96800,   9.87331,  54.57863, 106.31648
  89.34240,   9.51647,  58.70655, 106.51227
  89.71680,   9.01201,  57.42202, 106.16909
  90.09120,   9.09812,  53.65330, 106.20409
  90.46560,   9.76199,  52.14768, 106.00588
  90.84000,   6.39141,  48.40496, 105.00978
  91.21440,  32.53455,  47.07465, 104.53233
  91.58880,   5.49038,  48.48580, 103.89743
  91.96320,   4.22549,  45.34831, 104.01476
  92.33760,   5.09989,  45.11528, 104.30261
  92.71200,   4.89642,  47.91296, 103.85787
  93.08640,   4.64975,  44.84494, 103.47648
  93.46080,   5.47757,  42.48228, 103.66178
  93.83520,   4.61888,  41.84119, 103.85375
  94.20960,   3.51426,  41.08163, 103.62960
  94.58400,   4.24510,  41.36628, 104.48573
  94.95840,   6.41213,  46.45817, 105.12871
  95.33280,   7.16245,  46.00284, 105.93514
  95.70720,   7.24120,  48.90866, 105.92268
  96.08160,   5.69781,  50.03593,  90.06818
  96.45600,   6.73796,  47.41649, 104.97613
  96.83040,   0.00000,  47.19155, 104.88573
  97.20480,   5.50629,  48.65038, 104.56586
  97.57920,   7.35900,  45.83703, 103.76503
  97.95360,   6.91744,  46.06525, 103.61486
  98.32800,  10.30070,  46.01021, 103.04297
  98.70240,  42.05556,  44.82061, 103.30218
  99.07680,  14.23851,  46.19769, 101.92177
  99.45120,  15.18303,  45.34562, 101.84662
  99.82560,   5.79061,  41.41315, 102.50513
 100.20000,   5.28151,  40.65091, 102.86097
 100.57440,  10.44997,  38.88317, 102.68599
 100.94880,   5.47960,  37.22904, 103.54676
 101.32320,   4.40510,  42.15034, 104.12718
 101.69760,   4.06981,  44.36891, 104.15179
 102.07200,   4.16579,  45.31031, 104.80382
 102.44640,   3.44022,  44.69079, 104.19648
 102.82080,   5.38706,  38.14146,  94.56510
 103.19520,   0.00000,  34.44802,  84.50572
 103.56960,   0.00000,  31.27103,  74.60341
 103.94400,   0.00000,  28.88133,  64.29257
 104.31840,   0.00000,  24.39132,  54.20488
 104.69280,   0.00000,  21.49075,  43.59769
 105.06720,   3.05951,  16.46237,  33.12817
 105.44160,   3.08753,   9.64010,  22.81490
 105.81600,   0.00000,   0.00000,   0.00000
 106.19040,   0.00000,   0.00000,   0.00000
 106.56480,   0.00000,   0.00000,   0.00000
 106.93920,   0.00000,   0.00000,   0.00000
 107.31360,   0.00000,   0.00000,   0.00000
 107.68800,   0.00000,   0.00000,   0.00000
 108.06240,   0.00000,   0.00000,   0.00000
 108.43680,   0.00000,   0.00000,   0.00000
 108.81120,   0.00000,   0.00000,   0.00000
 109.18560,   0.00000,   0.00000,   0.00000
 109.56000,   0.00000,   0.00000,   0.00000
 109.93440,   0.00000,   0.00000,   0.00000
 110.30880,   0.00000,   0.00000,   0.00000
 110.68320,   0.00000,   0.00000,   0.00000
 111.05760,   0.00000,   0.00000,   0.00000
 111.43200,   0.00000,   0.00000,   0.00000
 111.80640,   0.00000,   0.00000,   0.00000
 112.18080,   0.00000,   0.00000,   0.00000
 112.55520,   0.00000,   0.00000,   0.00000
 112.92960,   0.00000,   0.00000,   0.00000
 113.30400,   0.00000,   0.00000,   0.00000
 113.67840,   0.00000,   0.00000,   0.00000
 114.05280,   0.00000,   0.00000,   0.00000
 114.42720,   0.00000,   0.00000,   0.00000
 114.80160,   0.00000,   0.00000,   0.00000
 115.17600,   0.00000,   0.00000,   0.00000
 115.55040,   0.00000,   0.00000,   0.00000
 115.92480,   0.00000,   0.00000,   0.00000
 116.29920,   0.00000,   0.00000,   0.00000
 116.67360,   0.00000,   0.00000,   0.00000
 117.04800,   0.00000,   0.00000,   0.00000
 117.42240,   0.00000,   0.00000,   0.00000
 117.79680,   0.00000,   0.00000,   0.00000
